acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_Instruction1,correct_keyboard_response,correct_response,count_CorrectFeedback,count_ExperimentLoop,count_Fixation,count_ISI,count_IncorrectFeedback,count_Instruction1,count_Instruction2,count_MemorySet,count_Practiceloop,count_Probe,count_ThankYou,count_expSequence,count_experiment,count_keyboard_response,count_logger,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Practiceloop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_Instruction1,response_Instruction2,response_ThankYou,response_keyboard_response,response_time,response_time_Instruction1,response_time_Instruction2,response_time_ThankYou,response_time_keyboard_response,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_CorrectFeedback,time_ExperimentLoop,time_Fixation,time_ISI,time_IncorrectFeedback,time_Instruction1,time_Instruction2,time_MemorySet,time_Practiceloop,time_Probe,time_ThankYou,time_expSequence,time_experiment,time_keyboard_response,time_logger,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
0,0,2000,2000,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/17/19 17:38,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,0,0,C:/Users/Carolyn/Desktop/cp_subject-3.csv,legacy,3 1 9 4,Kafkaesque Koffka,3.2.8,0,n,0,None,right,NA,NA,None,2000,36148,NA,NA,2000,2,legacy,4,1024,2,48000,-16,experiment,3,odd,6,NA,NA,49307,51514,NA,5621,NA,50310,41770,53517,NA,49302,5616,53518,55518,Sternberg Task,0,2000,1,yes,1024
50,50,1794,1794,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,1,0,1,1,1,0,0,1,0,1,0,1,0,1,1,10/17/19 17:38,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,1,1,C:/Users/Carolyn/Desktop/cp_subject-3.csv,legacy,9 6 7 4 5,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,NA,right,1588,36148,NA,NA,1588,2,legacy,5,1024,2,48000,-16,experiment,3,odd,3,NA,NA,56930,59137,55750,5621,NA,57933,41770,61140,NA,56926,5616,61141,62730,Sternberg Task,1,3588,2,yes,1024
33.33333333,33.33333333,1862.666667,1862.666667,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,left,2,0,2,2,2,0,0,2,0,2,0,2,0,2,2,10/17/19 17:38,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,2,2,C:/Users/Carolyn/Desktop/cp_subject-3.csv,legacy,4 8,Kafkaesque Koffka,3.2.8,1,y,0,None,right,NA,NA,None,2000,36148,NA,NA,2000,2,legacy,2,1024,2,48000,-16,experiment,3,odd,4,62783,NA,63961,66167,55750,5621,NA,64964,41770,68170,NA,63957,5616,68171,70171,Sternberg Task,1,5588,3,yes,1024
25,25,1897,1897,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,left,3,0,3,3,3,0,0,3,0,3,0,3,0,3,3,10/17/19 17:38,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,3,3,C:/Users/Carolyn/Desktop/cp_subject-3.csv,legacy,1 5 2 9,Kafkaesque Koffka,3.2.8,2,y,0,None,right,NA,NA,None,2000,36148,NA,NA,2000,2,legacy,4,1024,2,48000,-16,experiment,3,odd,5,62783,NA,71395,73602,70216,5621,NA,72398,41770,75605,NA,71391,5616,75605,77605,Sternberg Task,1,7588,4,yes,1024
20,20,1917.6,1917.6,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,right,4,0,4,4,4,0,0,4,0,4,0,4,0,4,4,10/17/19 17:38,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,4,4,C:/Users/Carolyn/Desktop/cp_subject-3.csv,legacy,2 1,Kafkaesque Koffka,3.2.8,0,n,0,None,right,NA,NA,None,2000,36148,NA,NA,2000,2,legacy,2,1024,2,48000,-16,experiment,3,odd,5,62783,NA,78872,81079,77694,5621,NA,79875,41770,83082,NA,78868,5616,83083,85083,Sternberg Task,1,9588,5,yes,1024
16.66666667,16.66666667,1931.333333,1931.333333,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,left,5,0,5,5,5,0,0,5,0,5,0,5,0,5,5,10/17/19 17:38,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,5,5,C:/Users/Carolyn/Desktop/cp_subject-3.csv,legacy,4 3 1 7 9 8,Kafkaesque Koffka,3.2.8,1,y,0,None,right,NA,NA,None,2000,36148,NA,NA,2000,2,legacy,6,1024,2,48000,-16,experiment,3,odd,4,62783,NA,86310,88516,85133,5621,NA,87313,41770,90520,NA,86306,5616,90521,92521,Sternberg Task,1,11588,6,yes,1024
28.57142857,28.57142857,1912.857143,1912.857143,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,6,0,6,6,6,0,0,6,0,6,0,6,0,6,6,10/17/19 17:38,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,6,6,C:/Users/Carolyn/Desktop/cp_subject-3.csv,legacy,5,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,NA,right,1802,36148,NA,NA,1802,2,legacy,1,1024,2,48000,-16,experiment,3,odd,3,62783,NA,93748,95955,92574,5621,NA,94751,41770,97958,NA,93745,5616,97959,99762,Sternberg Task,2,13390,7,yes,1024
25,25,1819.5,1819.5,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,left,7,0,7,7,7,0,0,7,0,7,0,7,0,7,7,10/17/19 17:38,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,7,7,C:/Users/Carolyn/Desktop/cp_subject-3.csv,legacy,6,Kafkaesque Koffka,3.2.8,1,y,0,right,right,NA,NA,right,1166,36148,NA,NA,1166,2,legacy,1,1024,2,48000,-16,experiment,3,odd,6,99807,NA,100984,103191,92574,5621,NA,101987,41770,105194,NA,100980,5616,105195,106362,Sternberg Task,2,14556,8,yes,1024
22.22222222,22.22222222,1839.555556,1839.555556,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,left,8,0,8,8,8,0,0,8,0,8,0,8,0,8,8,10/17/19 17:38,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,8,8,C:/Users/Carolyn/Desktop/cp_subject-3.csv,legacy,1 7 9 8 5,Kafkaesque Koffka,3.2.8,4,y,0,None,right,NA,NA,None,2000,36148,NA,NA,2000,2,legacy,5,1024,2,48000,-16,experiment,3,odd,8,99807,NA,107592,109799,106416,5621,NA,108596,41770,111803,NA,107588,5616,111803,113803,Sternberg Task,2,16556,9,yes,1024
30,30,1851,1851,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,9,0,9,9,9,0,0,9,0,9,0,9,0,9,9,10/17/19 17:38,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,9,9,C:/Users/Carolyn/Desktop/cp_subject-3.csv,legacy,2 9 4,Kafkaesque Koffka,3.2.8,3,y,0,left,right,NA,NA,left,1954,36148,NA,NA,1954,2,legacy,3,1024,2,48000,-16,experiment,3,odd,4,99807,NA,115052,117259,113874,5621,NA,116055,41770,119262,NA,115048,5616,119263,121218,Sternberg Task,3,18510,10,yes,1024
36.36363636,36.36363636,1781,1781,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,10,0,10,10,10,0,0,10,0,10,0,10,0,10,10,10/17/19 17:38,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,10,10,C:/Users/Carolyn/Desktop/cp_subject-3.csv,legacy,5 7 8 4 1 2,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,NA,right,1081,36148,NA,NA,1081,2,legacy,6,1024,2,48000,-16,experiment,3,odd,6,121266,NA,122445,124652,113874,5621,NA,123448,41770,126655,NA,122441,5616,126656,127738,Sternberg Task,4,19591,11,yes,1024
33.33333333,33.33333333,1745.583333,1745.583333,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,right,11,0,11,11,11,0,0,11,0,11,0,11,0,11,11,10/17/19 17:38,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,11,11,C:/Users/Carolyn/Desktop/cp_subject-3.csv,legacy,4 1 5,Kafkaesque Koffka,3.2.8,0,n,0,left,right,NA,NA,left,1356,36148,NA,NA,1356,2,legacy,3,1024,2,48000,-16,experiment,3,odd,2,127774,NA,128953,131161,113874,5621,NA,129956,41770,133164,NA,128949,5616,133165,134522,Sternberg Task,4,20947,12,yes,1024
38.46153846,38.46153846,1728.846154,1728.846154,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,12,0,12,12,12,0,0,12,0,12,0,12,0,12,12,10/17/19 17:38,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,0,11,C:/Users/Carolyn/Desktop/cp_subject-3.csv,legacy,5 9 2 3,Kafkaesque Koffka,3.2.8,0,n,0,right,right,left,NA,right,1528,36148,16384,NA,1528,2,legacy,4,1024,2,48000,-16,experiment,3,odd,8,127774,151986,152205,154413,134566,5621,135601,153208,41770,156416,NA,152201,5616,156417,157946,Sternberg Task,5,22475,13,yes,1024
42.85714286,42.85714286,1692.714286,1692.714286,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,13,0,13,13,13,0,0,13,0,13,0,13,0,13,13,10/17/19 17:38,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,1,11,C:/Users/Carolyn/Desktop/cp_subject-3.csv,legacy,4 1,Kafkaesque Koffka,3.2.8,0,n,0,right,right,left,NA,right,1223,36148,16384,NA,1223,2,legacy,2,1024,2,48000,-16,experiment,3,odd,6,157982,151986,159159,161366,134566,5621,135601,160162,41770,163369,NA,159155,5616,163370,164594,Sternberg Task,6,23698,14,yes,1024
46.66666667,46.66666667,1628,1628,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,14,0,14,14,14,0,0,14,0,14,0,14,0,14,14,10/17/19 17:38,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,2,11,C:/Users/Carolyn/Desktop/cp_subject-3.csv,legacy,9 5 3 8 4,Kafkaesque Koffka,3.2.8,1,y,0,left,right,left,NA,left,722,36148,16384,NA,722,2,legacy,5,1024,2,48000,-16,experiment,3,odd,9,164632,151986,165812,168019,134566,5621,135601,166815,41770,170022,NA,165808,5616,170023,170746,Sternberg Task,7,24420,15,yes,1024
50,50,1595.5625,1595.5625,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,15,0,15,15,15,0,0,15,0,15,0,15,0,15,15,10/17/19 17:38,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,3,11,C:/Users/Carolyn/Desktop/cp_subject-3.csv,legacy,2 8 9,Kafkaesque Koffka,3.2.8,0,n,0,right,right,left,NA,right,1109,36148,16384,NA,1109,2,legacy,3,1024,2,48000,-16,experiment,3,odd,6,170790,151986,171968,174176,134566,5621,135601,172971,41770,176179,NA,171964,5616,176180,177290,Sternberg Task,8,25529,16,yes,1024
52.94117647,52.94117647,1566.705882,1566.705882,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,16,0,16,16,16,0,0,16,0,16,0,16,0,16,16,10/17/19 17:38,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,4,11,C:/Users/Carolyn/Desktop/cp_subject-3.csv,legacy,8 2 1 4 5 9,Kafkaesque Koffka,3.2.8,0,n,0,right,right,left,NA,right,1105,36148,16384,NA,1105,2,legacy,6,1024,2,48000,-16,experiment,3,odd,7,177332,151986,178508,180715,134566,5621,135601,179511,41770,182718,NA,178504,5616,182719,183825,Sternberg Task,9,26634,17,yes,1024
55.55555556,55.55555556,1526.277778,1526.277778,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,17,0,17,17,17,0,0,17,0,17,0,17,0,17,17,10/17/19 17:38,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,5,11,C:/Users/Carolyn/Desktop/cp_subject-3.csv,legacy,7 1 3,Kafkaesque Koffka,3.2.8,2,y,0,left,right,left,NA,left,839,36148,16384,NA,839,2,legacy,3,1024,2,48000,-16,experiment,3,odd,1,183873,151986,185054,187261,134566,5621,135601,186057,41770,189264,NA,185050,5616,189265,190105,Sternberg Task,10,27473,18,yes,1024
57.89473684,57.89473684,1499.263158,1499.263158,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,18,0,18,18,18,0,0,18,0,18,0,18,0,18,18,10/17/19 17:38,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,6,11,C:/Users/Carolyn/Desktop/cp_subject-3.csv,legacy,9,Kafkaesque Koffka,3.2.8,0,n,0,right,right,left,NA,right,1013,36148,16384,NA,1013,2,legacy,1,1024,2,48000,-16,experiment,3,odd,6,190165,151986,191343,193551,134566,5621,135601,192347,41770,195554,NA,191340,5616,195555,196569,Sternberg Task,11,28486,19,yes,1024
60,60,1465.35,1465.35,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,19,0,19,19,19,0,0,19,0,19,0,19,0,19,19,10/17/19 17:38,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,7,11,C:/Users/Carolyn/Desktop/cp_subject-3.csv,legacy,6 2 9 3 8 4,Kafkaesque Koffka,3.2.8,0,n,0,right,right,left,NA,right,821,36148,16384,NA,821,2,legacy,6,1024,2,48000,-16,experiment,3,odd,1,196615,151986,197792,199999,134566,5621,135601,198795,41770,202002,NA,197788,5616,202003,202825,Sternberg Task,12,29307,20,yes,1024
61.9047619,61.9047619,1461.047619,1461.047619,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,20,0,20,20,20,0,0,20,0,20,0,20,0,20,20,10/17/19 17:38,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,8,11,C:/Users/Carolyn/Desktop/cp_subject-3.csv,legacy,4 8 1 2,Kafkaesque Koffka,3.2.8,0,n,0,right,right,left,NA,right,1375,36148,16384,NA,1375,2,legacy,4,1024,2,48000,-16,experiment,3,odd,7,202873,151986,204061,206269,134566,5621,135601,205064,41770,208272,NA,204057,5616,208273,209649,Sternberg Task,13,30682,21,yes,1024
59.09090909,59.09090909,1440.545455,1440.545455,black,experiment,legacy,legacy,legacy,0,uniform,0,undefined,0,right,21,0,21,21,21,0,0,21,0,21,0,21,0,21,21,10/17/19 17:38,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,9,11,C:/Users/Carolyn/Desktop/cp_subject-3.csv,legacy,5,Kafkaesque Koffka,3.2.8,0,n,0,left,right,left,NA,left,1010,36148,16384,NA,1010,2,legacy,1,1024,2,48000,-16,experiment,3,odd,8,209698,151986,210874,213081,134566,5621,135601,211877,41770,215085,NA,210870,5616,215086,216097,Sternberg Task,13,31692,22,yes,1024
60.86956522,60.86956522,1418.73913,1418.73913,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,22,0,22,22,22,0,0,22,0,22,0,22,0,22,22,10/17/19 17:38,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,10,11,C:/Users/Carolyn/Desktop/cp_subject-3.csv,legacy,2 6 4 3 9,Kafkaesque Koffka,3.2.8,0,n,0,right,right,left,NA,right,939,36148,16384,NA,939,2,legacy,5,1024,2,48000,-16,experiment,3,odd,1,209698,151986,217323,219529,216148,5621,135601,218326,41770,221532,NA,217319,5616,221533,222474,Sternberg Task,14,32631,23,yes,1024
62.5,62.5,1403.958333,1403.958333,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,23,0,23,23,23,0,0,23,0,23,0,23,0,23,23,10/17/19 17:38,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,11,11,C:/Users/Carolyn/Desktop/cp_subject-3.csv,legacy,6 9 7 4 5 1,Kafkaesque Koffka,3.2.8,2,y,0,left,right,left,NA,left,1064,36148,16384,NA,1064,2,legacy,6,1024,2,48000,-16,experiment,3,odd,9,222514,151986,223694,225901,216148,5621,135601,224697,41770,227904,NA,223690,5616,227904,228969,Sternberg Task,15,33695,24,yes,1024
64,64,1381.6,1381.6,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,24,0,24,24,24,0,0,24,0,24,0,24,0,24,24,10/17/19 17:38,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,12,11,C:/Users/Carolyn/Desktop/cp_subject-3.csv,legacy,4 2 6 9,Kafkaesque Koffka,3.2.8,0,n,0,right,right,left,NA,right,845,36148,16384,NA,845,2,legacy,4,1024,2,48000,-16,experiment,3,odd,7,229014,151986,230192,232399,216148,5621,135601,231195,41770,234402,NA,230188,5616,234403,235249,Sternberg Task,16,34540,25,yes,1024
65.38461538,65.38461538,1369.923077,1369.923077,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,25,0,25,25,25,0,0,25,0,25,0,25,0,25,25,10/17/19 17:38,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,13,11,C:/Users/Carolyn/Desktop/cp_subject-3.csv,legacy,2 4 6 9,Kafkaesque Koffka,3.2.8,3,y,0,left,right,left,NA,left,1078,36148,16384,NA,1078,2,legacy,4,1024,2,48000,-16,experiment,3,odd,6,235297,151986,236472,238679,216148,5621,135601,237475,41770,240682,NA,236468,5616,240682,241761,Sternberg Task,17,35618,26,yes,1024
62.96296296,62.96296296,1354.962963,1354.962963,black,experiment,legacy,legacy,legacy,0,uniform,0,undefined,0,left,26,0,26,26,26,0,0,26,0,26,0,26,0,26,26,10/17/19 17:38,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,14,11,C:/Users/Carolyn/Desktop/cp_subject-3.csv,legacy,3 2 1 4 7,Kafkaesque Koffka,3.2.8,2,y,0,right,right,left,NA,right,966,36148,16384,NA,966,2,legacy,5,1024,2,48000,-16,experiment,3,odd,2,241806,151986,242983,245190,216148,5621,135601,243987,41770,247193,NA,242980,5616,247194,248161,Sternberg Task,17,36584,27,yes,1024
64.28571429,64.28571429,1343.142857,1343.142857,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,27,0,27,27,27,0,0,27,0,27,0,27,0,27,27,10/17/19 17:38,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,15,11,C:/Users/Carolyn/Desktop/cp_subject-3.csv,legacy,5 3 2 6 9 8,Kafkaesque Koffka,3.2.8,0,n,0,right,right,left,NA,right,1024,36148,16384,NA,1024,2,legacy,6,1024,2,48000,-16,experiment,3,odd,4,241806,151986,249382,251588,248206,5621,135601,250385,41770,253591,NA,249378,5616,253592,254617,Sternberg Task,18,37608,28,yes,1024
62.06896552,62.06896552,1326.241379,1326.241379,black,experiment,legacy,legacy,legacy,0,uniform,0,undefined,0,left,28,0,28,28,28,0,0,28,0,28,0,28,0,28,28,10/17/19 17:38,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,16,11,C:/Users/Carolyn/Desktop/cp_subject-3.csv,legacy,9 5 8 1,Kafkaesque Koffka,3.2.8,2,y,0,right,right,left,NA,right,853,36148,16384,NA,853,2,legacy,4,1024,2,48000,-16,experiment,3,odd,5,254664,151986,255841,258047,248206,5621,135601,256844,41770,260050,NA,255837,5616,260051,260905,Sternberg Task,18,38461,29,yes,1024
63.33333333,63.33333333,1313.9,1313.9,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,29,0,29,29,29,0,0,29,0,29,0,29,0,29,29,10/17/19 17:38,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,17,11,C:/Users/Carolyn/Desktop/cp_subject-3.csv,legacy,2 3,Kafkaesque Koffka,3.2.8,1,y,0,left,right,left,NA,left,956,36148,16384,NA,956,2,legacy,2,1024,2,48000,-16,experiment,3,odd,2,254664,151986,262122,264328,260947,5621,135601,263125,41770,266331,NA,262118,5616,266332,267289,Sternberg Task,19,39417,30,yes,1024
64.51612903,64.51612903,1316.483871,1316.483871,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,30,0,30,30,30,0,0,30,0,30,0,30,0,30,30,10/17/19 17:38,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,18,11,C:/Users/Carolyn/Desktop/cp_subject-3.csv,legacy,8 4 3 5,Kafkaesque Koffka,3.2.8,0,n,0,right,right,left,NA,right,1394,36148,16384,NA,1394,2,legacy,4,1024,2,48000,-16,experiment,3,odd,6,267331,151986,268507,270714,260947,5621,135601,269510,41770,272717,NA,268503,5616,272718,274113,Sternberg Task,20,40811,31,yes,1024
65.625,65.625,1323.625,1323.625,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,31,0,31,31,31,0,0,31,0,31,0,31,0,31,31,10/17/19 17:38,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,19,11,C:/Users/Carolyn/Desktop/cp_subject-3.csv,legacy,4 1 8 7 5,Kafkaesque Koffka,3.2.8,3,y,0,left,right,left,NA,left,1545,36148,16384,NA,1545,2,legacy,5,1024,2,48000,-16,experiment,3,odd,8,274164,151986,275340,277547,260947,5621,135601,276343,41770,279550,NA,275336,5616,279551,281098,Sternberg Task,21,42356,32,yes,1024
66.66666667,66.66666667,1311,1311,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,32,0,32,32,32,0,0,32,0,32,0,32,0,32,32,10/17/19 17:38,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,20,11,C:/Users/Carolyn/Desktop/cp_subject-3.csv,legacy,2 8 6 3 1,Kafkaesque Koffka,3.2.8,0,n,0,right,right,left,NA,right,907,36148,16384,NA,907,2,legacy,5,1024,2,48000,-16,experiment,3,odd,7,281147,151986,282323,284530,260947,5621,135601,283326,41770,286533,NA,282319,5616,286533,287441,Sternberg Task,22,43263,33,yes,1024
67.64705882,67.64705882,1299.852941,1299.852941,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,33,0,33,33,33,0,0,33,0,33,0,33,0,33,33,10/17/19 17:38,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,21,11,C:/Users/Carolyn/Desktop/cp_subject-3.csv,legacy,6 8 4,Kafkaesque Koffka,3.2.8,0,n,0,right,right,left,NA,right,932,36148,16384,NA,932,2,legacy,3,1024,2,48000,-16,experiment,3,odd,1,287489,151986,288665,290872,260947,5621,135601,289668,41770,292875,NA,288661,5616,292876,293809,Sternberg Task,23,44195,34,yes,1024
65.71428571,65.71428571,1298.914286,1298.914286,black,experiment,legacy,legacy,legacy,0,uniform,0,undefined,0,left,34,0,34,34,34,0,0,34,0,34,0,34,0,34,34,10/17/19 17:38,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,22,11,C:/Users/Carolyn/Desktop/cp_subject-3.csv,legacy,4 1 5,Kafkaesque Koffka,3.2.8,2,y,0,right,right,left,NA,right,1267,36148,16384,NA,1267,2,legacy,3,1024,2,48000,-16,experiment,3,odd,1,293856,151986,295034,297242,260947,5621,135601,296037,41770,299245,NA,295030,5616,299245,300513,Sternberg Task,23,45462,35,yes,1024
63.88888889,63.88888889,1285.555556,1285.555556,black,experiment,legacy,legacy,legacy,0,uniform,0,undefined,0,left,35,0,35,35,35,0,0,35,0,35,0,35,0,35,35,10/17/19 17:38,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,23,11,C:/Users/Carolyn/Desktop/cp_subject-3.csv,legacy,8 5 3 7 4 6,Kafkaesque Koffka,3.2.8,6,y,0,right,right,left,NA,right,818,36148,16384,NA,818,2,legacy,6,1024,2,48000,-16,experiment,3,odd,6,293856,151986,301740,303946,300564,5621,135601,302743,41770,305949,NA,301736,5616,305950,306769,Sternberg Task,23,46280,36,yes,1024
64.86486486,64.86486486,1277.567568,1277.567568,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,36,0,36,36,36,0,0,36,0,36,0,36,0,36,36,10/17/19 17:38,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,24,11,C:/Users/Carolyn/Desktop/cp_subject-3.csv,legacy,2 3 8 5 6 7,Kafkaesque Koffka,3.2.8,0,n,0,right,right,left,NA,right,990,36148,16384,NA,990,2,legacy,6,1024,2,48000,-16,experiment,3,odd,1,293856,151986,307992,310198,306813,5621,135601,308995,41770,312201,NA,307988,5616,312202,313194,Sternberg Task,24,47270,37,yes,1024
65.78947368,65.78947368,1267.473684,1267.473684,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,37,0,37,37,37,0,0,37,0,37,0,37,0,37,37,10/17/19 17:38,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,25,11,C:/Users/Carolyn/Desktop/cp_subject-3.csv,legacy,7 9 1 6,Kafkaesque Koffka,3.2.8,0,n,0,right,right,left,NA,right,894,36148,16384,NA,894,2,legacy,4,1024,2,48000,-16,experiment,3,odd,4,313238,151986,314415,316622,306813,5621,135601,315418,41770,318625,NA,314411,5616,318626,319521,Sternberg Task,25,48164,38,yes,1024
