"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_Instructions1","correct_keyboard_response","correct_response","count_Block1","count_Block2","count_Block3","count_ISI","count_Instructions1","count_Sequence","count_errorFeedback","count_experiment","count_faster","count_fixation","count_instructions2","count_keyboard_response","count_logger","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Instructions1","response_instructions2","response_keyboard_response","response_time","response_time_Instructions1","response_time_instructions2","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_ISI","time_Instructions1","time_Sequence","time_errorFeedback","time_experiment","time_faster","time_fixation","time_instructions2","time_keyboard_response","time_logger","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","480","480","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sat Sep 24 14:03:45 2022","1500","The main experiment item","yes","/Users/andrea/Desktop/Adv. Quant Methods/FlankerTest_Savkovic.osexp","no","mono","no","18","no","white","no","yes","768","legacy","0","0","/Users/andrea/Desktop/Adv. Quant Methods/Lab 2.2/AS-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","S","S","NA","S","480","3298","NA","480","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","7011","NA","NA","NA","3707","7046","NA","3699","NA","7047","NA","7153","7633","7153","Flanker Test","1","480","1","yes","1024"
"100","100","482.5","482.5","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","1","0","1","1","0","1","1","0","1","1","1","Sat Sep 24 14:03:45 2022","1500","The main experiment item","yes","/Users/andrea/Desktop/Adv. Quant Methods/FlankerTest_Savkovic.osexp","no","mono","no","18","no","white","no","yes","768","legacy","1","1","/Users/andrea/Desktop/Adv. Quant Methods/Lab 2.2/AS-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","H","S","NA","H","485","3298","NA","485","2","legacy","1024","2","48000","-16","experiment","HHHHH","4","even","7011","NA","NA","7638","3707","8694","NA","3699","NA","8695","NA","8801","9286","8801","Flanker Test","2","965","2","yes","1024"
"100","100","450","450","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","2","0","2","2","0","2","2","0","2","2","2","Sat Sep 24 14:03:45 2022","1500","The main experiment item","yes","/Users/andrea/Desktop/Adv. Quant Methods/FlankerTest_Savkovic.osexp","no","mono","no","18","no","white","no","yes","768","legacy","2","2","/Users/andrea/Desktop/Adv. Quant Methods/Lab 2.2/AS-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","H","S","NA","H","385","3298","NA","385","2","legacy","1024","2","48000","-16","experiment","HHHHH","4","even","7011","NA","NA","9289","3707","10337","NA","3699","NA","10339","NA","10443","10828","10443","Flanker Test","3","1350","3","yes","1024"
"100","100","494","494","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","3","0","3","3","0","3","3","0","3","3","3","Sat Sep 24 14:03:45 2022","1500","The main experiment item","yes","/Users/andrea/Desktop/Adv. Quant Methods/FlankerTest_Savkovic.osexp","no","mono","no","18","no","white","no","yes","768","legacy","3","3","/Users/andrea/Desktop/Adv. Quant Methods/Lab 2.2/AS-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","S","S","NA","S","626","3298","NA","626","2","legacy","1024","2","48000","-16","experiment","HHSHH","4","even","7011","NA","NA","10831","3707","11879","NA","3699","NA","11881","NA","11987","12614","11986","Flanker Test","4","1976","4","yes","1024"
"100","100","495.4","495.4","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","4","0","4","4","0","4","4","0","4","4","4","Sat Sep 24 14:03:45 2022","1500","The main experiment item","yes","/Users/andrea/Desktop/Adv. Quant Methods/FlankerTest_Savkovic.osexp","no","mono","no","18","no","white","no","yes","768","legacy","4","4","/Users/andrea/Desktop/Adv. Quant Methods/Lab 2.2/AS-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","H","S","NA","H","501","3298","NA","501","2","legacy","1024","2","48000","-16","experiment","HHHHH","4","even","7011","NA","NA","12617","3707","13671","NA","3699","NA","13673","NA","13777","14279","13777","Flanker Test","5","2477","5","yes","1024"
"100","100","482.3333333333333","482.3333333333333","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","5","0","5","5","0","5","5","0","5","5","5","Sat Sep 24 14:03:45 2022","1500","The main experiment item","yes","/Users/andrea/Desktop/Adv. Quant Methods/FlankerTest_Savkovic.osexp","no","mono","no","18","no","white","no","yes","768","legacy","5","5","/Users/andrea/Desktop/Adv. Quant Methods/Lab 2.2/AS-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","H","S","NA","H","417","3298","NA","417","2","legacy","1024","2","48000","-16","experiment","HHHHH","4","even","7011","NA","NA","14282","3707","15329","NA","3699","NA","15331","NA","15436","15854","15435","Flanker Test","6","2894","6","yes","1024"
"100","100","471.14285714285717","471.14285714285717","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","6","0","6","6","0","6","6","0","6","6","6","Sat Sep 24 14:03:45 2022","1500","The main experiment item","yes","/Users/andrea/Desktop/Adv. Quant Methods/FlankerTest_Savkovic.osexp","no","mono","no","18","no","white","no","yes","768","legacy","6","6","/Users/andrea/Desktop/Adv. Quant Methods/Lab 2.2/AS-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","S","S","NA","S","404","3298","NA","404","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","7011","NA","NA","15857","3707","16904","NA","3699","NA","16905","NA","17010","17414","17010","Flanker Test","7","3298","7","yes","1024"
"100","100","458.875","458.875","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","7","0","7","7","0","7","7","0","7","7","7","Sat Sep 24 14:03:45 2022","1500","The main experiment item","yes","/Users/andrea/Desktop/Adv. Quant Methods/FlankerTest_Savkovic.osexp","no","mono","no","18","no","white","no","yes","768","legacy","7","7","/Users/andrea/Desktop/Adv. Quant Methods/Lab 2.2/AS-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","S","S","NA","S","373","3298","NA","373","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","7011","NA","NA","17417","3707","18464","NA","3699","NA","18466","NA","18570","18944","18570","Flanker Test","8","3671","8","yes","1024"
"100","100","466","466","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","8","0","8","8","0","8","8","0","8","8","8","Sat Sep 24 14:03:45 2022","1500","The main experiment item","yes","/Users/andrea/Desktop/Adv. Quant Methods/FlankerTest_Savkovic.osexp","no","mono","no","18","no","white","no","yes","768","legacy","8","8","/Users/andrea/Desktop/Adv. Quant Methods/Lab 2.2/AS-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","H","S","NA","H","523","3298","NA","523","2","legacy","1024","2","48000","-16","experiment","SSHSS","4","even","7011","NA","NA","18947","3707","19994","NA","3699","NA","19996","NA","20100","20624","20100","Flanker Test","9","4194","9","yes","1024"
"100","100","452.2","452.2","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","9","0","9","9","0","9","9","0","9","9","9","Sat Sep 24 14:03:45 2022","1500","The main experiment item","yes","/Users/andrea/Desktop/Adv. Quant Methods/FlankerTest_Savkovic.osexp","no","mono","no","18","no","white","no","yes","768","legacy","9","9","/Users/andrea/Desktop/Adv. Quant Methods/Lab 2.2/AS-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","S","S","NA","S","328","3298","NA","328","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","7011","NA","NA","20627","3707","21674","NA","3699","NA","21676","NA","21781","22110","21780","Flanker Test","10","4522","10","yes","1024"
"100","100","454.3636363636364","454.3636363636364","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","10","0","10","10","0","10","10","0","10","10","10","Sat Sep 24 14:03:45 2022","1500","The main experiment item","yes","/Users/andrea/Desktop/Adv. Quant Methods/FlankerTest_Savkovic.osexp","no","mono","no","18","no","white","no","yes","768","legacy","10","10","/Users/andrea/Desktop/Adv. Quant Methods/Lab 2.2/AS-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","H","S","NA","H","476","3298","NA","476","2","legacy","1024","2","48000","-16","experiment","SSHSS","4","even","7011","NA","NA","22113","3707","23161","NA","3699","NA","23162","NA","23268","23744","23268","Flanker Test","11","4998","11","yes","1024"
"100","100","447.5","447.5","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","11","0","11","11","0","11","11","0","11","11","11","Sat Sep 24 14:03:45 2022","1500","The main experiment item","yes","/Users/andrea/Desktop/Adv. Quant Methods/FlankerTest_Savkovic.osexp","no","mono","no","18","no","white","no","yes","768","legacy","11","11","/Users/andrea/Desktop/Adv. Quant Methods/Lab 2.2/AS-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","S","S","NA","S","372","3298","NA","372","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","7011","NA","NA","23747","3707","24796","NA","3699","NA","24798","NA","24902","25274","24902","Flanker Test","12","5370","12","yes","1024"
"100","100","442.84615384615387","442.84615384615387","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","12","0","12","12","0","12","12","0","12","12","12","Sat Sep 24 14:03:45 2022","1500","The main experiment item","yes","/Users/andrea/Desktop/Adv. Quant Methods/FlankerTest_Savkovic.osexp","no","mono","no","18","no","white","no","yes","768","legacy","12","12","/Users/andrea/Desktop/Adv. Quant Methods/Lab 2.2/AS-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","H","S","NA","H","387","3298","NA","387","2","legacy","1024","2","48000","-16","experiment","SSHSS","4","even","7011","NA","NA","25277","3707","26325","NA","3699","NA","26327","NA","26431","26819","26431","Flanker Test","13","5757","13","yes","1024"
"100","100","436.64285714285717","436.64285714285717","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","13","0","13","13","0","13","13","0","13","13","13","Sat Sep 24 14:03:45 2022","1500","The main experiment item","yes","/Users/andrea/Desktop/Adv. Quant Methods/FlankerTest_Savkovic.osexp","no","mono","no","18","no","white","no","yes","768","legacy","13","13","/Users/andrea/Desktop/Adv. Quant Methods/Lab 2.2/AS-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","H","S","NA","H","356","3298","NA","356","2","legacy","1024","2","48000","-16","experiment","HHHHH","4","even","7011","NA","NA","26822","3707","27870","NA","3699","NA","27872","NA","27977","28334","27976","Flanker Test","14","6113","14","yes","1024"
"100","100","440.4","440.4","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","14","0","14","14","0","14","14","0","14","14","14","Sat Sep 24 14:03:45 2022","1500","The main experiment item","yes","/Users/andrea/Desktop/Adv. Quant Methods/FlankerTest_Savkovic.osexp","no","mono","no","18","no","white","no","yes","768","legacy","14","14","/Users/andrea/Desktop/Adv. Quant Methods/Lab 2.2/AS-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","H","S","NA","H","493","3298","NA","493","2","legacy","1024","2","48000","-16","experiment","SSHSS","4","even","7011","NA","NA","28337","3707","29385","NA","3699","NA","29386","NA","29491","29985","29491","Flanker Test","15","6606","15","yes","1024"
