"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_instructions1","correct_response","correct_skeyboard_response","count_ISI","count_block1","count_block2","count_block3","count_errorFedback","count_experiment","count_faster","count_finish","count_fixation","count_instructions1","count_instructions2","count_instructions3","count_logger","count_sequence","count_skeyboard_response","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_finish","response_instructions1","response_instructions2","response_instructions3","response_skeyboard_response","response_time","response_time_finish","response_time_instructions1","response_time_instructions2","response_time_instructions3","response_time_skeyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_ISI","time_block1","time_block2","time_block3","time_errorFedback","time_experiment","time_faster","time_finish","time_fixation","time_instructions1","time_instructions2","time_instructions3","time_logger","time_sequence","time_skeyboard_response","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","779","779","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","s","1","0","0","0","0","0","0","0","NA","0","0","0","0","0","0","0","0","Sun Sep 19 23:03:20 2021","1500","The main experiment item","yes","FlankerTaskHW.osexp","C:/Users/19565/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/19565/Desktop/MR-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","779","NA","11765","NA","NA","779","2","legacy","1024","2","48000","-16","experiment","HHSHH","3","odd","NA","15586","NA","NA","NA","3815","NA","NA","15685","3820","NA","NA","16568","15683","15789","15788","Flanker Task HW","1","779","1","yes","1024"
"100","100","593","593","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","s","1","1","0","0","0","1","0","1","NA","1","0","0","0","1","1","1","1","Sun Sep 19 23:03:20 2021","1500","The main experiment item","yes","FlankerTaskHW.osexp","C:/Users/19565/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/19565/Desktop/MR-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","407","NA","11765","NA","NA","407","2","legacy","1024","2","48000","-16","experiment","SSSSS","3","odd","16581","15586","NA","NA","NA","3815","NA","NA","17720","3820","NA","NA","18231","17717","17824","17823","Flanker Task HW","2","1186","2","yes","1024"
"100","100","557.3333333333334","557.3333333333334","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","s","1","2","0","0","0","2","0","2","NA","2","0","0","0","2","2","2","2","Sun Sep 19 23:03:20 2021","1500","The main experiment item","yes","FlankerTaskHW.osexp","C:/Users/19565/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/19565/Desktop/MR-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","486","NA","11765","NA","NA","486","2","legacy","1024","2","48000","-16","experiment","HHSHH","3","odd","18240","15586","NA","NA","NA","3815","NA","NA","19405","3820","NA","NA","19996","19402","19509","19509","Flanker Task HW","3","1672","3","yes","1024"
"100","100","544","544","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","h","1","3","0","0","0","3","0","3","NA","3","0","0","0","3","3","3","3","Sun Sep 19 23:03:20 2021","1500","The main experiment item","yes","FlankerTaskHW.osexp","C:/Users/19565/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/19565/Desktop/MR-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","504","NA","11765","NA","NA","504","2","legacy","1024","2","48000","-16","experiment","HHHHH","3","odd","20005","15586","NA","NA","NA","3815","NA","NA","21165","3820","NA","NA","21773","21162","21269","21269","Flanker Task HW","4","2176","4","yes","1024"
"100","100","524.8","524.8","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","s","1","4","0","0","0","4","0","4","NA","4","0","0","0","4","4","4","4","Sun Sep 19 23:03:20 2021","1500","The main experiment item","yes","FlankerTaskHW.osexp","C:/Users/19565/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/19565/Desktop/MR-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","448","NA","11765","NA","NA","448","2","legacy","1024","2","48000","-16","experiment","SSSSS","3","odd","21779","15586","NA","NA","NA","3815","NA","NA","22916","3820","NA","NA","23469","22913","23021","23020","Flanker Task HW","5","2624","5","yes","1024"
"100","100","525","525","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","h","1","5","0","0","0","5","0","5","NA","5","0","0","0","5","5","5","5","Sun Sep 19 23:03:20 2021","1500","The main experiment item","yes","FlankerTaskHW.osexp","C:/Users/19565/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/19565/Desktop/MR-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","526","NA","11765","NA","NA","526","2","legacy","1024","2","48000","-16","experiment","SSHSS","3","odd","23479","15586","NA","NA","NA","3815","NA","NA","24642","3820","NA","NA","25274","24640","24747","24746","Flanker Task HW","6","3150","6","yes","1024"
"85.71428571428571","85.71428571428571","664.2857142857143","664.2857142857143","black","legacy","legacy","legacy","0","incongruent","uniform","0","undefined","s","0","6","0","0","0","6","0","6","NA","6","0","0","0","6","6","6","6","Sun Sep 19 23:03:20 2021","1500","The main experiment item","yes","FlankerTaskHW.osexp","C:/Users/19565/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/19565/Desktop/MR-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","None","NA","s","NA","NA","None","1500","NA","11765","NA","NA","1500","2","legacy","1024","2","48000","-16","experiment","HHSHH","3","odd","25280","15586","NA","NA","NA","3815","NA","NA","26425","3820","NA","NA","28030","26422","26530","26529","Flanker Task HW","6","4650","7","yes","1024"
"87.5","87.5","645.75","645.75","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","s","1","7","0","0","0","7","0","7","NA","7","0","0","0","7","7","7","7","Sun Sep 19 23:03:20 2021","1500","The main experiment item","yes","FlankerTaskHW.osexp","C:/Users/19565/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/19565/Desktop/MR-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","516","NA","11765","NA","NA","516","2","legacy","1024","2","48000","-16","experiment","SSSSS","3","odd","28543","15586","NA","NA","28037","3815","NA","NA","29688","3820","NA","NA","30308","29685","29792","29792","Flanker Task HW","7","5166","8","yes","1024"
"77.77777777777777","77.77777777777777","740.6666666666666","740.6666666666666","black","legacy","legacy","legacy","0","incongruent","uniform","0","undefined","h","0","8","0","0","0","8","0","8","NA","8","0","0","0","8","8","8","8","Sun Sep 19 23:03:20 2021","1500","The main experiment item","yes","FlankerTaskHW.osexp","C:/Users/19565/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/19565/Desktop/MR-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","None","NA","s","NA","NA","None","1500","NA","11765","NA","NA","1500","2","legacy","1024","2","48000","-16","experiment","SSHSS","3","odd","30318","15586","NA","NA","28037","3815","NA","NA","31451","3820","NA","NA","33056","31448","31556","31556","Flanker Task HW","7","6666","9","yes","1024"
"80","80","719.7","719.7","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","s","1","9","0","0","0","9","0","9","NA","9","0","0","0","9","9","9","9","Sun Sep 19 23:03:20 2021","1500","The main experiment item","yes","FlankerTaskHW.osexp","C:/Users/19565/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/19565/Desktop/MR-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","531","NA","11765","NA","NA","531","2","legacy","1024","2","48000","-16","experiment","SSSSS","3","odd","33567","15586","NA","NA","33063","3815","NA","NA","34697","3820","NA","NA","35332","34694","34801","34801","Flanker Task HW","8","7197","10","yes","1024"
"81.81818181818181","81.81818181818181","695","695","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","h","1","10","0","0","0","10","0","10","NA","10","0","0","0","10","10","10","10","Sun Sep 19 23:03:20 2021","1500","The main experiment item","yes","FlankerTaskHW.osexp","C:/Users/19565/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","10","10","C:/Users/19565/Desktop/MR-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","448","NA","11765","NA","NA","448","2","legacy","1024","2","48000","-16","experiment","HHHHH","3","odd","35339","15586","NA","NA","33063","3815","NA","NA","36514","3820","NA","NA","37068","36512","36619","36619","Flanker Task HW","9","7645","11","yes","1024"
"83.33333333333333","83.33333333333333","670.5833333333334","670.5833333333334","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","h","1","11","0","0","0","11","0","11","NA","11","0","0","0","11","11","11","11","Sun Sep 19 23:03:20 2021","1500","The main experiment item","yes","FlankerTaskHW.osexp","C:/Users/19565/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","11","11","C:/Users/19565/Desktop/MR-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","402","NA","11765","NA","NA","402","2","legacy","1024","2","48000","-16","experiment","HHHHH","3","odd","37076","15586","NA","NA","33063","3815","NA","NA","38218","3820","NA","NA","38726","38215","38323","38323","Flanker Task HW","10","8047","12","yes","1024"
"84.61538461538461","84.61538461538461","658.7692307692307","658.7692307692307","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","h","1","12","0","0","0","12","0","12","NA","12","0","0","0","12","12","12","12","Sun Sep 19 23:03:20 2021","1500","The main experiment item","yes","FlankerTaskHW.osexp","C:/Users/19565/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","12","12","C:/Users/19565/Desktop/MR-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","517","NA","11765","NA","NA","517","2","legacy","1024","2","48000","-16","experiment","SSHSS","3","odd","38735","15586","NA","NA","33063","3815","NA","NA","39922","3820","NA","NA","40545","39919","40027","40027","Flanker Task HW","11","8564","13","yes","1024"
"85.71428571428571","85.71428571428571","651.2142857142857","651.2142857142857","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","h","1","13","0","0","0","13","0","13","NA","13","0","0","0","13","13","13","13","Sun Sep 19 23:03:20 2021","1500","The main experiment item","yes","FlankerTaskHW.osexp","C:/Users/19565/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","13","13","C:/Users/19565/Desktop/MR-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","553","NA","11765","NA","NA","553","2","legacy","1024","2","48000","-16","experiment","HHHHH","3","odd","40555","15586","NA","NA","33063","3815","NA","NA","41678","3820","NA","NA","42337","41675","41782","41782","Flanker Task HW","12","9117","14","yes","1024"
"86.66666666666667","86.66666666666667","644.2666666666667","644.2666666666667","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","s","1","14","0","0","0","14","0","14","NA","14","0","0","0","14","14","14","14","Sun Sep 19 23:03:20 2021","1500","The main experiment item","yes","FlankerTaskHW.osexp","C:/Users/19565/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","14","14","C:/Users/19565/Desktop/MR-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","547","NA","11765","NA","NA","547","2","legacy","1024","2","48000","-16","experiment","HHSHH","3","odd","42346","15586","NA","NA","33063","3815","NA","NA","43526","3820","NA","NA","44179","43524","43631","43630","Flanker Task HW","13","9664","15","yes","1024"
"87.5","87.5","634.4375","634.4375","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","s","1","15","0","0","0","15","0","15","NA","15","0","0","0","15","15","15","15","Sun Sep 19 23:03:20 2021","1500","The main experiment item","yes","FlankerTaskHW.osexp","C:/Users/19565/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","15","15","C:/Users/19565/Desktop/MR-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","487","NA","11765","NA","NA","487","2","legacy","1024","2","48000","-16","experiment","HHSHH","3","odd","44187","15586","NA","NA","33063","3815","NA","NA","45389","3820","NA","NA","45980","45385","45491","45491","Flanker Task HW","14","10151","16","yes","1024"
"88.23529411764706","88.23529411764706","627.5882352941177","627.5882352941177","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","h","1","16","0","0","0","16","0","16","NA","16","0","0","0","16","16","16","16","Sun Sep 19 23:03:20 2021","1500","The main experiment item","yes","FlankerTaskHW.osexp","C:/Users/19565/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","16","16","C:/Users/19565/Desktop/MR-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","518","NA","11765","NA","NA","518","2","legacy","1024","2","48000","-16","experiment","SSHSS","3","odd","45989","15586","NA","NA","33063","3815","NA","NA","47135","3820","NA","NA","47757","47132","47239","47239","Flanker Task HW","15","10669","17","yes","1024"
"83.33333333333333","83.33333333333333","613.7222222222222","613.7222222222222","black","legacy","legacy","legacy","0","congruent","uniform","0","undefined","s","0","17","0","0","0","17","0","17","NA","17","0","0","0","17","17","17","17","Sun Sep 19 23:03:20 2021","1500","The main experiment item","yes","FlankerTaskHW.osexp","C:/Users/19565/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","17","17","C:/Users/19565/Desktop/MR-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","378","NA","11765","NA","NA","378","2","legacy","1024","2","48000","-16","experiment","SSSSS","3","odd","47767","15586","NA","NA","33063","3815","NA","NA","48953","3820","NA","NA","49438","48949","49058","49058","Flanker Task HW","15","11047","18","yes","1024"
"84.21052631578948","84.21052631578948","605.3157894736842","605.3157894736842","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","s","1","18","0","0","0","18","0","18","NA","18","0","0","0","18","18","18","18","Sun Sep 19 23:03:20 2021","1500","The main experiment item","yes","FlankerTaskHW.osexp","C:/Users/19565/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","18","18","C:/Users/19565/Desktop/MR-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","454","NA","11765","NA","NA","454","2","legacy","1024","2","48000","-16","experiment","SSSSS","3","odd","49952","15586","NA","NA","49448","3815","NA","NA","51080","3820","NA","NA","51640","51077","51185","51184","Flanker Task HW","16","11501","19","yes","1024"
